name	run	prompt_tokens	prefill_ms	prefill_tps	decode_ms	decode_tps
chat_01	1	22	48.8	450.4	1253.3	102.1
chat_01	2	22	48.7	451.4	1252.0	102.2
chat_01	3	22	48.7	452.2	1254.6	102.0
chat_02	1	24	48.9	490.5	1255.4	102.0
chat_02	2	24	48.7	492.7	1253.7	102.1
chat_02	3	24	48.5	494.6	1252.1	102.2
chat_03	1	22	48.5	453.7	1252.7	102.2
chat_03	2	22	48.7	452.0	1253.8	102.1
chat_03	3	22	48.8	451.0	1256.2	101.9
chat_04	1	24	48.9	490.4	1252.9	102.2
chat_04	2	24	48.6	494.3	1255.7	101.9
chat_04	3	24	48.8	491.6	1253.5	102.1
chat_05	1	24	48.6	494.1	1253.0	102.2
chat_05	2	24	48.7	492.9	1253.4	102.1
chat_05	3	24	48.7	492.7	1254.2	102.1
code_01	1	28	48.6	575.7	1257.5	101.8
code_01	2	28	48.8	573.8	1255.3	102.0
code_01	3	28	48.8	573.6	1256.1	101.9
code_02	1	28	48.5	576.8	1255.3	102.0
code_02	2	28	48.5	577.5	1256.0	101.9
code_02	3	28	49.0	571.1	1258.4	101.7
code_03	1	41	49.1	834.3	1261.9	101.4
code_03	2	41	49.2	833.6	1257.7	101.8
code_03	3	41	49.1	835.4	1258.8	101.7
code_04	1	23	49.1	468.3	1252.0	102.2
code_04	2	23	48.6	473.2	1255.1	102.0
code_04	3	23	48.7	472.6	1255.7	101.9
code_05	1	31	49.1	631.2	1257.8	101.8
code_05	2	31	49.2	629.9	1256.7	101.9
code_05	3	31	49.1	631.0	1255.4	102.0
prose_01	1	23	48.7	472.0	1254.2	102.1
prose_01	2	23	48.9	470.4	1254.6	102.0
prose_01	3	23	48.9	470.1	1254.2	102.1
prose_02	1	21	48.8	430.5	1253.1	102.1
prose_02	2	21	48.8	430.5	1252.6	102.2
prose_02	3	21	48.7	431.4	1251.7	102.3
prose_03	1	24	48.8	491.9	1254.2	102.1
prose_03	2	24	48.8	491.6	1253.7	102.1
prose_03	3	24	48.6	494.2	1255.6	101.9
prose_04	1	19	48.5	391.8	1253.9	102.1
prose_04	2	19	48.6	390.6	1255.3	102.0
prose_04	3	19	48.8	389.4	1255.3	102.0
prose_05	1	26	48.7	533.7	1255.3	102.0
prose_05	2	26	48.5	536.0	1255.3	102.0
prose_05	3	26	48.7	534.1	1255.6	101.9
